CIK,Ticker,Pos,Neg,Unc,Lit,Date,Fret_w,Fret_m,Fret_q
63908,MCD,1.89,2.66,1.29,1.39,2016-02-25,0.10251605980047263,7.491904970708019,4.271317105612105
63908,MCD,0.0,0.0,0.0,0.0,2016-05-06,-0.9095807928426236,-5.4555073648039905,-8.527693967775052
63908,MCD,2.69,3.47,1.46,1.73,2016-08-04,0.2600429961912232,-1.1587585532809586,-4.624797704111527
63908,MCD,2.66,3.8,1.49,1.74,2016-11-04,4.467317660282344,7.593219390752193,12.3900103858408
63908,MCD,2.12,2.61,1.44,1.4,2017-03-01,-0.07018107911106464,1.0761941462614555,19.90002096940897
63908,MCD,2.7,3.69,1.81,1.75,2017-05-08,2.0296154578276937,5.589877648446651,9.172733345608908
63908,MCD,2.59,3.49,1.66,1.56,2017-08-08,2.569079803275054,4.885332645165685,8.437141431246499
63908,MCD,2.66,3.47,1.62,1.57,2017-11-02,-1.8143918538748638,3.477155921975039,-5.177751468319036
63908,MCD,2.02,2.41,1.47,1.29,2018-02-23,-7.087982003794457,-2.547882262180523,-0.45007480122036814
63908,MCD,2.21,3.31,1.65,1.68,2018-05-08,-0.8341298758203664,2.0138852739781887,-2.77157275268588
63908,MCD,2.16,3.29,1.54,1.58,2018-08-02,1.5811932735819267,5.1527169342063806,16.200048502861144
63908,MCD,2.25,3.27,1.55,1.57,2018-11-01,5.19943756548118,5.569263731230767,-0.5218281460353857
63908,MCD,2.0,2.46,1.48,1.36,2019-02-22,-0.4765613780729261,3.3370631538866213,8.026932484028237
63908,MCD,2.38,3.5,1.5,1.68,2019-05-08,1.1429884148048242,3.3987352032430085,10.469708266499978
63908,MCD,2.26,3.43,1.41,1.53,2019-08-06,-0.161414885512301,0.7281261466289379,-10.482428185936365
63908,MCD,2.25,3.35,1.39,1.5,2019-11-04,0.5723938976023524,2.3009495417486203,11.653879180954995
63908,MCD,1.93,2.63,1.42,1.36,2020-02-26,-0.7159003118387686,-15.829785351343805,-5.552177998396712
63908,MCD,1.87,4.21,1.55,1.64,2020-05-07,-4.094255307485605,8.759841705754434,13.870107429785051
